timestamp,algorithm,poly_modulus_degree,scale_bits,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,communication_overhead,security_level_bits,meter_id
2025-12-12 15:32:33.203,CKKS,8192,40,8,334355,4.850,41794.375,128,48
2025-12-12 15:32:33.215,CKKS,8192,40,8,334047,4.654,41755.875,128,15
2025-12-12 15:32:33.249,CKKS,8192,40,8,334240,4.717,41780.000,128,357
2025-12-12 15:32:33.304,CKKS,8192,40,8,334326,5.393,41790.750,128,341
2025-12-12 15:32:33.314,CKKS,8192,40,8,334318,4.608,41789.750,128,228
2025-12-12 15:32:33.319,CKKS,8192,40,8,334293,5.652,41786.625,128,81
2025-12-12 15:32:33.331,CKKS,8192,40,8,334222,4.860,41777.750,128,373
2025-12-12 15:32:33.339,CKKS,8192,40,8,333768,4.742,41721.000,128,389
2025-12-12 15:32:33.410,CKKS,8192,40,8,334175,5.312,41771.875,128,163
2025-12-12 15:32:33.445,CKKS,8192,40,8,334361,5.922,41795.125,128,405
2025-12-12 15:32:33.447,CKKS,8192,40,8,334070,5.194,41758.750,128,325
2025-12-12 15:32:33.492,CKKS,8192,40,8,334253,4.937,41781.625,128,421
2025-12-12 15:32:33.508,CKKS,8192,40,8,334304,5.568,41788.000,128,114
2025-12-12 15:32:33.552,CKKS,8192,40,8,334012,5.197,41751.500,128,309
2025-12-12 15:32:33.559,CKKS,8192,40,8,334267,6.694,41783.375,128,437
2025-12-12 15:32:33.561,CKKS,8192,40,8,334396,7.224,41799.500,128,212
2025-12-12 15:32:33.658,CKKS,8192,40,8,334173,6.174,41771.625,128,453
2025-12-12 15:32:33.718,CKKS,8192,40,8,334506,6.097,41813.250,128,293
2025-12-12 15:32:33.804,CKKS,8192,40,8,334158,6.840,41769.750,128,469
2025-12-12 15:32:33.833,CKKS,8192,40,8,334521,6.758,41815.125,128,65
2025-12-12 15:32:33.836,CKKS,8192,40,8,334093,8.547,41761.625,128,32
2025-12-12 15:32:33.842,CKKS,8192,40,8,334486,12.411,41810.750,128,147
2025-12-12 15:32:33.914,CKKS,8192,40,8,334053,6.106,41756.625,128,196
2025-12-12 15:32:33.918,CKKS,8192,40,8,333967,6.815,41745.875,128,277
2025-12-12 15:32:33.968,CKKS,8192,40,8,334388,4.362,41798.500,128,98
2025-12-12 15:32:34.112,CKKS,8192,40,8,334407,5.467,41800.875,128,261
2025-12-12 15:32:34.113,CKKS,8192,40,8,334186,5.387,41773.250,128,485
2025-12-12 15:32:34.263,CKKS,8192,40,8,334385,6.490,41798.125,128,131
2025-12-12 15:32:34.272,CKKS,8192,40,8,334439,6.368,41804.875,128,180
2025-12-12 15:32:34.295,CKKS,8192,40,8,334419,7.294,41802.375,128,245
2025-12-12 15:32:34.395,CKKS,8192,40,8,334279,4.404,41784.875,128,49
2025-12-12 15:32:34.401,CKKS,8192,40,8,334274,5.066,41784.250,128,16
2025-12-12 15:32:34.482,CKKS,8192,40,8,334467,4.804,41808.375,128,358
2025-12-12 15:32:34.520,CKKS,8192,40,8,334097,4.975,41762.125,128,82
2025-12-12 15:32:34.520,CKKS,8192,40,8,334423,4.832,41802.875,128,229
2025-12-12 15:32:34.524,CKKS,8192,40,8,334239,5.983,41779.875,128,342
2025-12-12 15:32:34.574,CKKS,8192,40,8,333740,4.401,41717.500,128,374
2025-12-12 15:32:34.580,CKKS,8192,40,8,334196,4.721,41774.500,128,390
2025-12-12 15:32:34.643,CKKS,8192,40,8,334198,4.968,41774.750,128,326
2025-12-12 15:32:34.653,CKKS,8192,40,8,334386,4.630,41798.250,128,406
2025-12-12 15:32:34.662,CKKS,8192,40,8,334486,4.414,41810.750,128,164
2025-12-12 15:32:34.725,CKKS,8192,40,8,334136,4.657,41767.000,128,422
2025-12-12 15:32:34.731,CKKS,8192,40,8,334294,4.884,41786.750,128,115
2025-12-12 15:32:34.792,CKKS,8192,40,8,333974,5.247,41746.750,128,310
2025-12-12 15:32:34.805,CKKS,8192,40,8,334387,5.509,41798.375,128,213
2025-12-12 15:32:34.806,CKKS,8192,40,8,334119,6.258,41764.875,128,438
2025-12-12 15:32:34.929,CKKS,8192,40,8,334098,5.804,41762.250,128,454
2025-12-12 15:32:34.968,CKKS,8192,40,8,334142,4.515,41767.750,128,294
2025-12-12 15:32:35.005,CKKS,8192,40,8,333301,4.309,41662.625,128,33
2025-12-12 15:32:35.038,CKKS,8192,40,8,334392,4.969,41799.000,128,148
2025-12-12 15:32:35.043,CKKS,8192,40,8,334018,4.785,41752.250,128,66
2025-12-12 15:32:35.056,CKKS,8192,40,8,334128,4.354,41766.000,128,470
2025-12-12 15:32:35.139,CKKS,8192,40,8,334423,4.692,41802.875,128,278
2025-12-12 15:32:35.191,CKKS,8192,40,8,334194,4.920,41774.250,128,197
2025-12-12 15:32:35.197,CKKS,8192,40,8,334256,4.877,41782.000,128,99
2025-12-12 15:32:35.332,CKKS,8192,40,8,334234,4.721,41779.250,128,262
2025-12-12 15:32:35.370,CKKS,8192,40,8,334482,5.052,41810.250,128,486
2025-12-12 15:32:35.471,CKKS,8192,40,8,334161,4.356,41770.125,128,181
2025-12-12 15:32:35.485,CKKS,8192,40,8,334388,4.357,41798.500,128,132
2025-12-12 15:32:35.539,CKKS,8192,40,8,334275,4.753,41784.375,128,246
2025-12-12 15:32:35.621,CKKS,8192,40,8,334195,4.611,41774.375,128,17
2025-12-12 15:32:35.626,CKKS,8192,40,8,334153,5.271,41769.125,128,50
2025-12-12 15:32:35.734,CKKS,8192,40,8,334359,4.960,41794.875,128,83
2025-12-12 15:32:35.752,CKKS,8192,40,8,333934,4.524,41741.750,128,230
2025-12-12 15:32:35.760,CKKS,8192,40,8,334070,4.626,41758.750,128,359
2025-12-12 15:32:35.788,CKKS,8192,40,8,334106,4.654,41763.250,128,343
2025-12-12 15:32:35.827,CKKS,8192,40,8,334414,4.898,41801.750,128,375
2025-12-12 15:32:35.833,CKKS,8192,40,8,334350,4.776,41793.750,128,391
2025-12-12 15:32:35.845,CKKS,8192,40,8,334339,4.999,41792.375,128,165
2025-12-12 15:32:35.896,CKKS,8192,40,8,334069,4.780,41758.625,128,407
2025-12-12 15:32:35.910,CKKS,8192,40,8,334362,4.751,41795.250,128,327
2025-12-12 15:32:35.983,CKKS,8192,40,8,334287,4.963,41785.875,128,423
2025-12-12 15:32:35.998,CKKS,8192,40,8,334131,4.729,41766.375,128,116
2025-12-12 15:32:36.050,CKKS,8192,40,8,334250,4.829,41781.250,128,439
2025-12-12 15:32:36.071,CKKS,8192,40,8,334339,4.800,41792.375,128,214
2025-12-12 15:32:36.079,CKKS,8192,40,8,334337,4.945,41792.125,128,311
2025-12-12 15:32:36.180,CKKS,8192,40,8,334117,4.673,41764.625,128,455
2025-12-12 15:32:36.209,CKKS,8192,40,8,334409,4.792,41801.125,128,295
2025-12-12 15:32:36.233,CKKS,8192,40,8,334132,5.001,41766.500,128,34
2025-12-12 15:32:36.289,CKKS,8192,40,8,334450,5.193,41806.250,128,149
2025-12-12 15:32:36.305,CKKS,8192,40,8,334388,4.659,41798.500,128,1
2025-12-12 15:32:36.310,CKKS,8192,40,8,334369,4.998,41796.125,128,67
2025-12-12 15:32:36.322,CKKS,8192,40,8,334446,4.431,41805.750,128,471
2025-12-12 15:32:36.348,CKKS,8192,40,8,334054,4.652,41756.750,128,198
2025-12-12 15:32:36.371,CKKS,8192,40,8,334213,4.625,41776.625,128,279
2025-12-12 15:32:36.428,CKKS,8192,40,8,334525,4.956,41815.625,128,100
2025-12-12 15:32:36.576,CKKS,8192,40,8,334127,6.464,41765.875,128,263
2025-12-12 15:32:36.653,CKKS,8192,40,8,334170,7.407,41771.250,128,487
2025-12-12 15:32:36.728,CKKS,8192,40,8,334063,6.636,41757.875,128,133
2025-12-12 15:32:36.729,CKKS,8192,40,8,333663,7.212,41707.875,128,182
2025-12-12 15:32:36.772,CKKS,8192,40,8,334433,5.270,41804.125,128,247
2025-12-12 15:32:36.831,CKKS,8192,40,8,334171,6.620,41771.375,128,51
2025-12-12 15:32:36.836,CKKS,8192,40,8,334333,6.784,41791.625,128,18
2025-12-12 15:32:36.928,CKKS,8192,40,8,334162,5.236,41770.250,128,84
2025-12-12 15:32:36.964,CKKS,8192,40,8,334197,4.653,41774.625,128,231
2025-12-12 15:32:36.974,CKKS,8192,40,8,334292,4.459,41786.500,128,360
2025-12-12 15:32:37.003,CKKS,8192,40,8,334045,5.446,41755.625,128,344
2025-12-12 15:32:37.063,CKKS,8192,40,8,334359,6.411,41794.875,128,376
2025-12-12 15:32:37.072,CKKS,8192,40,8,334411,6.333,41801.375,128,392
2025-12-12 15:32:37.137,CKKS,8192,40,8,334496,4.813,41812.000,128,328
2025-12-12 15:32:37.144,CKKS,8192,40,8,334180,4.408,41772.500,128,166
2025-12-12 15:32:37.154,CKKS,8192,40,8,334459,4.773,41807.375,128,408
2025-12-12 15:32:37.181,CKKS,8192,40,8,334208,4.933,41776.000,128,117
2025-12-12 15:32:37.229,CKKS,8192,40,8,334471,5.320,41808.875,128,424
2025-12-12 15:32:37.272,CKKS,8192,40,8,334457,5.288,41807.125,128,215
2025-12-12 15:32:37.282,CKKS,8192,40,8,334502,4.582,41812.750,128,312
