timestamp,algorithm,poly_modulus_degree,scale_bits,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,communication_overhead,security_level_bits,meter_id
2025-12-13 15:30:33.474,CKKS,16384,50,8,658198,13.837,82274.750,192,421
2025-12-13 15:30:33.498,CKKS,16384,50,8,658193,9.078,82274.125,192,212
2025-12-13 15:30:33.544,CKKS,16384,50,8,658111,8.901,82263.875,192,293
2025-12-13 15:30:33.561,CKKS,16384,50,8,657921,8.911,82240.125,192,437
2025-12-13 15:30:33.660,CKKS,16384,50,8,658186,9.139,82273.250,192,32
2025-12-13 15:30:33.701,CKKS,16384,50,8,657975,9.244,82246.875,192,453
2025-12-13 15:30:33.729,CKKS,16384,50,8,657929,8.944,82241.125,192,147
2025-12-13 15:30:33.759,CKKS,16384,50,8,657441,9.309,82180.125,192,277
2025-12-13 15:30:33.781,CKKS,16384,50,8,658138,9.036,82267.250,192,65
2025-12-13 15:30:33.810,CKKS,16384,50,8,657330,8.907,82166.250,192,196
2025-12-13 15:30:33.861,CKKS,16384,50,8,657638,9.011,82204.750,192,98
2025-12-13 15:30:33.902,CKKS,16384,50,8,657580,9.470,82197.500,192,261
2025-12-13 15:30:34.159,CKKS,16384,50,8,658000,10.511,82250.000,192,131
2025-12-13 15:30:34.161,CKKS,16384,50,8,658186,12.352,82273.250,192,469
2025-12-13 15:30:34.198,CKKS,16384,50,8,658080,12.259,82260.000,192,245
2025-12-13 15:30:34.204,CKKS,16384,50,8,658156,14.703,82269.500,192,180
2025-12-13 15:30:34.322,CKKS,16384,50,8,657703,9.296,82212.875,192,49
2025-12-13 15:30:34.332,CKKS,16384,50,8,658317,9.129,82289.625,192,16
2025-12-13 15:30:34.383,CKKS,16384,50,8,658194,8.864,82274.250,192,374
2025-12-13 15:30:34.430,CKKS,16384,50,8,656990,10.700,82123.750,192,82
2025-12-13 15:30:34.437,CKKS,16384,50,8,658057,12.302,82257.125,192,485
2025-12-13 15:30:34.449,CKKS,16384,50,8,658157,12.536,82269.625,192,358
2025-12-13 15:30:34.451,CKKS,16384,50,8,658078,14.295,82259.750,192,342
2025-12-13 15:30:34.488,CKKS,16384,50,8,658207,9.946,82275.875,192,229
2025-12-13 15:30:34.502,CKKS,16384,50,8,658208,10.956,82276.000,192,390
2025-12-13 15:30:34.516,CKKS,16384,50,8,657690,10.834,82211.250,192,326
2025-12-13 15:30:34.559,CKKS,16384,50,8,657310,9.679,82163.750,192,164
2025-12-13 15:30:34.584,CKKS,16384,50,8,657689,9.432,82211.125,192,406
2025-12-13 15:30:34.621,CKKS,16384,50,8,658396,9.613,82299.500,192,115
2025-12-13 15:30:34.692,CKKS,16384,50,8,657639,12.930,82204.875,192,310
2025-12-13 15:30:34.732,CKKS,16384,50,8,658239,9.141,82279.875,192,422
2025-12-13 15:30:34.757,CKKS,16384,50,8,658243,9.792,82280.375,192,213
2025-12-13 15:30:34.841,CKKS,16384,50,8,658341,10.280,82292.625,192,438
2025-12-13 15:30:34.847,CKKS,16384,50,8,657755,11.453,82219.375,192,294
2025-12-13 15:30:34.929,CKKS,16384,50,8,657407,9.867,82175.875,192,33
2025-12-13 15:30:34.985,CKKS,16384,50,8,658188,10.112,82273.500,192,454
2025-12-13 15:30:34.992,CKKS,16384,50,8,658008,12.622,82251.000,192,148
2025-12-13 15:30:35.035,CKKS,16384,50,8,658279,9.665,82284.875,192,278
2025-12-13 15:30:35.046,CKKS,16384,50,8,658217,10.612,82277.125,192,66
2025-12-13 15:30:35.054,CKKS,16384,50,8,657062,11.755,82132.750,192,197
2025-12-13 15:30:35.100,CKKS,16384,50,8,658264,9.236,82283.000,192,99
2025-12-13 15:30:35.164,CKKS,16384,50,8,656736,9.102,82092.000,192,262
2025-12-13 15:30:35.360,CKKS,16384,50,8,656096,9.022,82012.000,192,132
2025-12-13 15:30:35.421,CKKS,16384,50,8,658281,9.466,82285.125,192,470
2025-12-13 15:30:35.428,CKKS,16384,50,8,657359,9.549,82169.875,192,181
2025-12-13 15:30:35.431,CKKS,16384,50,8,658247,11.424,82280.875,192,246
2025-12-13 15:30:35.547,CKKS,16384,50,8,658026,14.310,82253.250,192,50
2025-12-13 15:30:35.548,CKKS,16384,50,8,657766,14.765,82220.750,192,17
2025-12-13 15:30:35.628,CKKS,16384,50,8,658202,9.430,82275.250,192,83
2025-12-13 15:30:35.684,CKKS,16384,50,8,657414,10.539,82176.750,192,486
2025-12-13 15:30:35.758,CKKS,16384,50,8,657490,9.052,82186.250,192,343
2025-12-13 15:30:35.807,CKKS,16384,50,8,657325,8.917,82165.625,192,375
2025-12-13 15:30:35.824,CKKS,16384,50,8,658196,10.034,82274.500,192,391
2025-12-13 15:30:35.830,CKKS,16384,50,8,657326,14.241,82165.750,192,359
2025-12-13 15:30:35.832,CKKS,16384,50,8,657915,14.961,82239.375,192,165
2025-12-13 15:30:35.840,CKKS,16384,50,8,657311,9.223,82163.875,192,230
2025-12-13 15:30:35.869,CKKS,16384,50,8,657327,13.337,82165.875,192,327
2025-12-13 15:30:35.872,CKKS,16384,50,8,658044,14.723,82255.500,192,116
2025-12-13 15:30:35.918,CKKS,16384,50,8,658302,9.547,82287.750,192,311
2025-12-13 15:30:35.928,CKKS,16384,50,8,657289,9.278,82161.125,192,407
2025-12-13 15:30:35.976,CKKS,16384,50,8,658205,9.001,82275.625,192,214
2025-12-13 15:30:35.988,CKKS,16384,50,8,658228,9.440,82278.500,192,423
2025-12-13 15:30:36.030,CKKS,16384,50,8,657681,9.206,82210.125,192,295
2025-12-13 15:30:36.073,CKKS,16384,50,8,657346,9.111,82168.250,192,439
2025-12-13 15:30:36.109,CKKS,16384,50,8,658289,11.150,82286.125,192,34
2025-12-13 15:30:36.216,CKKS,16384,50,8,658228,13.406,82278.500,192,149
2025-12-13 15:30:36.241,CKKS,16384,50,8,657391,13.523,82173.875,192,1
2025-12-13 15:30:36.261,CKKS,16384,50,8,657714,13.342,82214.250,192,455
2025-12-13 15:30:36.272,CKKS,16384,50,8,657894,12.628,82236.750,192,279
2025-12-13 15:30:36.284,CKKS,16384,50,8,658245,11.733,82280.625,192,67
2025-12-13 15:30:36.291,CKKS,16384,50,8,658200,10.200,82275.000,192,198
2025-12-13 15:30:36.312,CKKS,16384,50,8,657524,9.066,82190.500,192,100
2025-12-13 15:30:36.390,CKKS,16384,50,8,657647,10.255,82205.875,192,263
2025-12-13 15:30:36.655,CKKS,16384,50,8,657397,9.835,82174.625,192,133
2025-12-13 15:30:36.699,CKKS,16384,50,8,658104,10.225,82263.000,192,182
2025-12-13 15:30:36.718,CKKS,16384,50,8,657969,9.545,82246.125,192,247
2025-12-13 15:30:36.745,CKKS,16384,50,8,658199,8.963,82274.875,192,471
2025-12-13 15:30:36.854,CKKS,16384,50,8,658112,13.276,82264.000,192,51
2025-12-13 15:30:36.857,CKKS,16384,50,8,657167,17.414,82145.875,192,18
2025-12-13 15:30:36.900,CKKS,16384,50,8,658253,9.999,82281.625,192,84
2025-12-13 15:30:36.936,CKKS,16384,50,8,657439,9.246,82179.875,192,360
2025-12-13 15:30:36.949,CKKS,16384,50,8,657968,11.304,82246.000,192,376
2025-12-13 15:30:36.999,CKKS,16384,50,8,657323,14.019,82165.375,192,231
2025-12-13 15:30:37.001,CKKS,16384,50,8,657118,15.025,82139.750,192,344
2025-12-13 15:30:37.005,CKKS,16384,50,8,658214,13.268,82276.750,192,487
